Date,Open,High,Low,Close,Volume,Adj Close
2015/1/2,199.27,200.26,192.55,194.84,38542100,189.49
2015/1/3,195.41,197.39,192.69,194.93,30073800,189.58
2015/1/4,191.45,193,178.89,180.05,51994000,175.11
2015/1/7,181.25,183.6,170.23,177.64,74006900,172.76
2015/1/8,180.14,182.46,170.8,171.25,54422000,166.55
2015/1/9,171.3,179.5,168.3,179.4,64781500,174.48
2015/1/10,177.58,181,175.41,178.02,52963400,173.13
2015/1/11,176,177.85,170,172.69,44010200,167.95
2015/1/14,177.52,179.42,175.17,178.78,39301800,173.87
2015/1/15,177.72,179.22,164.66,169.04,83688500,164.4
2015/1/16,165.23,169.01,156.7,159.64,79065900,155.26
2015/1/17,161.51,165.36,158.42,160.89,62780700,156.47
2015/1/18,161.71,165.75,159.61,161.36,61583700,156.93
2015/1/22,148.06,159.98,146,155.64,86955500,151.37
2015/1/23,136.19,140,126.14,139.07,120463200,135.25
2015/1/24,139.99,140.7,132.01,135.6,71638100,131.88
2015/1/25,138.99,139.09,129.61,130.01,55526400,126.44
2015/1/28,128.16,133.2,126.45,130.01,52673000,126.44
2015/1/29,131.15,132.79,129.05,131.54,39285100,127.93
2015/1/30,131.37,135.45,130,132.18,44394700,128.55
2015/1/31,129.45,136.65,129.4,135.36,48059800,131.64
2015/2/1,136.24,136.59,132.18,133.75,36098000,130.08
2015/2/4,134.21,135.9,131.42,131.65,32115500,128.04
2015/2/5,130.43,134,128.9,129.36,40751500,125.81
2015/2/6,130.83,131.92,121.77,122,56188300,118.65
2015/2/7,119.97,124.78,117.27,121.24,74404700,117.91
2015/2/8,122.08,125.7,121.6,125.48,48427600,122.04
2015/2/11,128.01,129.98,127.2,129.45,42908300,125.9
2015/2/12,130.7,131,123.62,124.86,43785000,121.43
2015/2/13,126.68,129.78,125.63,129.4,34590500,125.85
2015/2/14,129.4,130.8,127.01,127.46,34074900,123.96
2015/2/15,126.27,127.08,124.06,124.63,32189300,121.21
2015/2/19,125.99,126.75,121.44,122.18,35894500,118.83
2015/2/20,122.2,124.6,121.68,123.82,34551400,120.42
2015/2/21,126.05,126.47,120.86,121.54,33504100,118.2
2015/2/22,122.48,122.51,115.87,119.46,54638500,116.18
2015/2/25,118.59,120.17,116.66,119.74,44884800,116.45
2015/2/26,117.64,121.09,115.44,119.15,53746000,115.88
2015/2/27,118.23,123.05,118.09,122.96,52683500,119.59
2015/2/28,127.2,132.2,125.77,129.91,57794800,126.34
2015/3/3,124.44,125.98,118,121.73,56894400,118.39
2015/3/4,121.99,124.88,120.4,124.62,63763700,121.2
2015/3/5,123.58,125.14,122.25,124.49,43637000,121.07
2015/3/6,124.61,127.5,120.81,120.93,52632100,117.61
2015/3/7,120.41,122.98,119.05,122.25,43945100,118.89
2015/3/10,121.98,123.46,119.37,119.69,35699600,116.4
2015/3/11,124.1,127.48,122,127.35,41569400,123.85
2015/3/12,127.04,128.68,125.17,126.03,37843900,122.57
2015/3/13,124.1,129.5,123,127.94,45075100,124.43
2015/3/14,129.88,130.3,124.2,126.61,41308600,123.13
2015/3/17,122.55,128.59,122.55,126.73,38307100,123.25
2015/3/18,129.18,133,128.67,132.82,43040000,129.17
2015/3/19,133.12,134.29,129.67,129.67,36090600,126.11
2015/3/20,131.12,133.29,129.18,133.27,32456700,129.61
2015/3/24,134.01,140.85,133.64,139.53,38104300,135.7
2015/3/25,139.96,143.1,137.33,140.98,37585400,137.11
2015/3/26,140.87,145.74,140.64,145.06,42217300,141.08
2015/3/27,144.95,145.31,139.99,140.25,35708200,136.4
2015/3/28,141.8,144.65,141.6,143.01,25521800,139.08
2015/3/31,143.27,145.71,142.52,143.5,27430900,139.56
2015/4/1,146.3,149.66,143.61,149.53,36877400,145.43
2015/4/2,148.78,151.2,145.85,147.49,37320300,143.44
2015/4/3,147.06,153.63,147,151.61,37556000,147.45
2015/4/4,152.19,154.71,150.75,153.08,30514900,148.88
2015/4/7,156.13,159.69,155.11,155.89,41368800,151.61
2015/4/8,153.55,156.45,152.32,152.84,36224800,148.64
2015/4/9,153.31,153.89,150.46,151.44,31192800,147.28
2015/4/10,151.13,155.42,150.6,154.55,34134400,150.31
2015/4/11,152.72,153.3,146.4,147.14,43217000,143.1
2015/4/14,146.77,149.25,144.54,147.78,30181700,143.72
2015/4/15,149.4,149.72,145.72,148.38,24929900,144.31
2015/4/16,151.72,154.1,150.62,153.7,28420500,149.48
2015/4/17,154.17,156,153.35,154.49,25152400,150.25
2015/4/18,159.12,162.26,158.38,161.04,36670200,156.62
2015/4/21,162.21,168.5,161.76,168.16,37112600,163.54
