country,food_category,consumption,co2_emmission
Argentina,ÖíÈâ,10.51,37.2
Argentina,¼ÒÇİ,38.66,41.53
Argentina,Å£Èâ,55.48,1712
Argentina,ÑòÈâ,1.56,54.63
Argentina,ÓãÈâ,4.36,6.96
Argentina,¼¦µ°,11.39,10.46
Argentina,Å£ÄÌ,195.08,277.87
Argentina,Ğ¡Âó,103.11,19.66
Argentina,´óÃ×,8.77,11.22
Argentina,»Æ¶¹,0,0
Argentina,¼á¹û,0.49,0.87
Australia,ÖíÈâ,24.14,85.44
Australia,¼ÒÇİ,46.12,49.54
Australia,Å£Èâ,33.86,1044.85
Australia,ÑòÈâ,9.87,345.65
Australia,ÓãÈâ,17.69,28.25
Australia,¼¦µ°,8.51,7.82
Australia,Å£ÄÌ,234.49,334.01
Australia,Ğ¡Âó,70.46,13.44
Australia,´óÃ×,11.03,14.12
Australia,»Æ¶¹,0.19,0.09
Australia,¼á¹û,8.73,15.45
Albania,ÖíÈâ,10.88,38.51
Albania,¼ÒÇİ,13.23,14.21
Albania,Å£Èâ,22.5,694.3
Albania,ÑòÈâ,15.32,536.5
Albania,ÓãÈâ,3.85,6.15
Albania,¼¦µ°,12.45,11.44
Albania,Å£ÄÌ,303.72,432.62
Albania,Ğ¡Âó,138.64,26.44
Albania,´óÃ×,7.78,9.96
Albania,»Æ¶¹,0,0
Albania,¼á¹û,4.36,7.72
Iceland,ÖíÈâ,21.69,76.77
Iceland,¼ÒÇİ,26.87,28.86
Iceland,Å£Èâ,13.36,412.26
Iceland,ÑòÈâ,21.12,739.62
Iceland,ÓãÈâ,74.41,118.81
Iceland,¼¦µ°,8.24,7.57
Iceland,Å£ÄÌ,225.82,321.66
Iceland,Ğ¡Âó,72.92,13.91
Iceland,´óÃ×,3.89,4.98
Iceland,»Æ¶¹,0.11,0.05
Iceland,¼á¹û,3.88,6.87
New Zealand,ÖíÈâ,22.29,78.9
New Zealand,¼ÒÇİ,34.98,37.58
New Zealand,Å£Èâ,22.49,693.99
New Zealand,ÑòÈâ,18.91,662.23
New Zealand,ÓãÈâ,20.36,32.51
New Zealand,¼¦µ°,9.91,9.1
New Zealand,Å£ÄÌ,137.25,195.5
New Zealand,Ğ¡Âó,76.91,14.67
New Zealand,´óÃ×,9.16,11.72
New Zealand,»Æ¶¹,0.44,0.2
New Zealand,¼á¹û,8.22,14.55
USA,ÖíÈâ,27.64,97.83
USA,¼ÒÇİ,50.01,53.72
USA,Å£Èâ,36.24,1118.29
USA,ÑòÈâ,0.43,15.06
USA,ÓãÈâ,12.35,19.72
USA,¼¦µ°,14.58,13.39
USA,Å£ÄÌ,254.69,362.78
USA,Ğ¡Âó,80.43,15.34
USA,´óÃ×,6.88,8.8
USA,»Æ¶¹,0.04,0.02
USA,¼á¹û,7.86,13.91
Uruguay,ÖíÈâ,16.84,59.61
Uruguay,¼ÒÇİ,27.45,29.49
Uruguay,Å£Èâ,29.1,897.96
Uruguay,ÑòÈâ,8.23,288.21
Uruguay,ÓãÈâ,6.53,10.43
Uruguay,¼¦µ°,13.14,12.07
Uruguay,Å£ÄÌ,210.54,299.89
Uruguay,Ğ¡Âó,109.31,20.85
Uruguay,´óÃ×,11.5,14.72
Uruguay,»Æ¶¹,0.01,0
Uruguay,¼á¹û,0.95,1.68
Luxembourg,ÖíÈâ,43.58,154.25
Luxembourg,¼ÒÇİ,21.37,22.96
Luxembourg,Å£Èâ,29.88,922.03
Luxembourg,ÑòÈâ,1.67,58.48
Luxembourg,ÓãÈâ,23.09,36.87
Luxembourg,¼¦µ°,14.64,13.45
