trade_date,open,high,low,close,volume,amount
2020/1/2,88,88.37,87.67,87.95,246.54,1808.6
2020/1/3,87.8,88.71,87.8,88.12,167.7,1220.7
2020/1/6,88.12,90.06,88.01,90.04,92.06,668.2
2020/1/7,90.35,90.64,89.91,90.29,116.24,848.9
2020/1/8,90.3,91.26,89.66,90.06,210.1,1517
2020/1/9,90.04,90.4,89.67,90,166.07,1203.6
2020/1/10,90,90.1,89.28,89.77,135.69,979.1
2020/1/13,90.49,90.55,89.17,89.17,160.51,1165.4
2020/1/14,88.5,88.59,87.9,88.21,245.98,1735.4
2020/1/15,88.39,88.55,87.85,88.22,128.17,894.5
2020/1/16,87.97,88.34,87.53,88,89.03,623.6
2020/1/17,88.48,88.49,87.8,88.03,152.78,1063.3
2020/1/20,87.81,88.25,87.7,87.9,245.24,1679.7
2020/1/21,87.88,88.98,87.68,88.71,156.83,1057
2020/1/22,88.3,89.1,88.22,88.89,124.16,846.3
2020/1/23,88.58,88.8,87.93,88.05,104.07,709.5
2020/2/3,87.72,87.75,86.01,86.34,79.46,536.8
2020/2/4,86.42,86.95,84.68,84.89,174.38,1187.4
2020/2/5,85.1,85.57,84.28,85.5,240.08,1654.6
2020/2/6,86,86.02,84.97,85.4,134.07,923.9
2020/2/7,85.36,85.36,84.5,84.91,148.2,1017.6
2020/2/10,85,85.16,84.23,84.4,100.28,689.6
2020/2/11,84.39,84.74,82.69,83.62,170.39,1176.5
2020/2/12,83.69,83.98,83.01,83.29,139.53,957.6
2020/2/13,83.18,84.28,82.79,84.27,95.27,650.5
2020/2/14,83.6,84.13,83.37,84.07,80.72,553.1
2020/2/17,84.51,85,84.08,84.67,154.19,1060.4
2020/2/18,84.9,84.95,84.33,84.74,170.65,1180.6
2020/2/19,84.76,84.89,83.34,83.65,141.43,980.5
2020/2/20,83.51,83.88,83.3,83.59,182.99,1262.7
2020/2/21,83.8,84.19,83.4,84.04,194.68,1341.7
2020/2/24,84.43,84.64,84,84.04,199.11,1364.6
2020/2/25,85.18,86.77,85.08,86.77,221.66,1525.4
2020/2/26,85.6,85.85,84.9,85.64,316.23,2203.8
2020/2/27,85.68,86.84,85.25,86.13,438.19,3131.1
2020/2/28,86.09,86.45,85.81,85.98,255.4,1828.2
2020/3/2,86.12,86.18,85.28,85.7,176.28,1263.7
2020/3/3,85.77,86.31,85.5,85.53,238.01,1697.6
2020/3/4,85.95,85.97,84.25,84.29,221.98,1557.8
2020/3/5,84.23,84.6,84.05,84.46,162.64,1138
2020/3/6,84.4,84.51,83.81,83.93,150.82,1056.6
2020/3/9,84,84.43,83.9,84.43,881.78,6351.5
2020/3/10,84.44,85.66,84.42,84.72,565.73,4095.6
2020/3/11,84.76,86.02,83.92,85.89,462.84,3339.7
2020/3/12,85.75,85.91,85.01,85.46,536.87,3960.1
2020/3/13,85.9,86.79,85.88,86.12,507.86,3759
2020/3/16,86.81,86.88,85.9,86.2,368.01,2709.6
2020/3/17,85.92,86.87,85.5,85.6,437.69,3214.5
2020/3/18,86.01,86.46,85.67,86.15,311.7,2296
2020/3/19,85.98,85.98,84.5,85,405.15,2948.2
2020/3/20,85.58,85.61,84.69,85.04,279.73,2036.4
2020/3/23,85.35,85.39,84.61,84.78,241.68,1763.3
2020/3/24,85.01,86.47,84.78,86.45,238.29,1734.8
2020/3/25,87.2,87.82,86.68,86.83,305.49,2251.9
2020/3/26,86.81,87.12,85.68,85.81,192.45,1401
2020/3/27,86.31,86.37,85.55,85.55,135.85,986.4
2020/3/30,86.15,86.9,85.85,86.25,242.15,1744.8
2020/3/31,88.3,88.7,87.35,87.6,329.57,2364.9
2020/4/1,87,87.29,85.6,85.6,835.65,6218.1
2020/4/2,85,85.48,83.83,85.22,1371.35,10541.4
2020/4/3,84.01,84.56,82.48,83.49,1483.27,11435.4
2020/4/7,76.51,79.25,76.4,77.71,3703.6,30634.8
2020/4/8,78.3,80.97,78.2,80.43,4099.17,35691.9
2020/4/9,80.56,81.33,79.76,80.38,4483.49,41180.8
2020/4/10,81.18,81.97,80.38,81.52,4546.33,46614.3
2020/4/13,80.6,81.2,80.42,81.03,4794.89,51983.6
2020/4/14,80.35,80.64,79.9,80.3,3632.65,35897.9
2020/4/15,80.89,81.86,80.5,81.13,2671.78,24412.2
2020/4/16,81.1,81.46,80.55,81.2,1823.35,16551.8
2020/4/17,81.2,81.2,80.36,80.45,2109.01,18655.2
2020/4/20,80.37,81.26,80.21,81,1527.94,13398
2020/4/21,81,82.49,80.7,82.39,1633.4,14385.8
2020/4/22,81.81,82.11,81.44,81.55,2684.55,24682.3
2020/4/23,81.03,82.24,81.01,81.7,1721.9,15626.1
2020/4/24,82,83.61,81.35,83.28,1260.9,11196.7
2020/4/26,82.5,83.23,82,82.38,1765.8,15996.3
2020/4/27,81,81.3,80.5,80.72,2406.64,22352.6
2020/4/28,79.8,80.32,79.51,80.19,3160.85,29811.8
2020/4/29,79.45,80.76,79.11,79.83,1931.32,18127.8
2020/4/30,79.6,80.4,79.3,79.79,1502.92,13438
2020/5/6,78.6,79.29,77.71,77.72,1116.55,9710.3
2020/5/7,78.32,80.2,78.32,79.58,799.56,6971
2020/5/8,80.48,80.57,79.26,79.49,983.65,8755.4
2020/5/9,79.9,80.75,79.9,80.58,793.99,6914.4
2020/5/11,81.01,82.76,80.62,82.45,987.57,8719.6
2020/5/12,81.57,81.92,80.8,80.91,1323.43,11751.1
2020/5/13,78.91,79,78.02,78.14,930.64,8038.1
2020/5/14,78.14,79.78,77.83,79.18,1175.57,9676.7
2020/5/15,79.18,79.25,78.15,78.15,767.26,6389.9
2020/5/18,77.25,77.48,76.53,76.65,671.32,5430.5
2020/5/19,72.14,75.98,72.1,74.71,843.75,6512.3
2020/5/20,74.5,74.52,71.8,72,704.76,5500.6
2020/5/21,71.65,73,70.89,72.14,585.7,4402.3
2020/5/22,72.53,72.88,69.85,69.87,529.86,4083.9
2020/5/25,69.1,69.87,66.32,67.81,453.96,3440.9
2020/5/26,68.71,69.4,67.35,69,461.53,3550.9
2020/5/27,66,67.5,66,66.76,461.04,3459.6
